"","new.id","tissue","x","y","rename_to","old.id"
"206","206","SP20_10838",17.7828469230769,37.6804492307692,"","279"
"207","207","SP20_10838",17.6564523076923,37.5111744615385,"","280"
"208","208","SP20_10838",17.8039072972973,37.1387563513514,"","282"
"209","209","SP20_10838",17.9148484337349,38.7853079518072,"","284(upper half)"
"210_211","210_211","SP20_10838",17.4926104918033,38.654662295082,"","285"
"212","212","SP20_10838",17.6639152941176,38.5868623529412,"","286"
"213","213","SP20_10838",17.20833,38.579554,"","287"
"214","214","SP20_10838",17.37984,38.23052,"","289"
"218_215","218_215","SP20_10838",16.8377109090909,37.6664990909091,"","292"
"219","219","SP20_10838",16.9735914285714,37.6103714285714,"","293.1"
"216","216","SP20_10838",16.504161875,37.542338125,"","294"
"217","217","SP20_10838",16.853336,37.482811,"","293.2"
"220","220","SP21_213",0.862570964467007,21.9241836548223,"","296"
"221","221","SP21_213",0.607420800000002,21.6440043428572,"","297"
"222","222","SP21_213",0.326224285714287,21.5614744897959,"","298"
"223","223","SP21_213",0.498544342105265,21.4220107894737,"","299"
"224","224","SP21_213",1.61716651376147,22.6812906422018,"","300"
"225","225","SP21_213",2.83156941176471,23.2067435294118,"","307"
"226","226","SP21_213",2.5210618,23.0311166,"","308"
"227","227","SP21_213",3.94550797927461,24.2595850777202,"","310"
"228","228","SP21_213",3.36397897233202,23.9521528853755,"","311"
"229","229","SP21_213",3.65951707317073,23.8709053658537,"","312"
"230","230","SP21_213",4.39035463157895,24.8883676842105,"","313"
"231","231","SP21_213",4.7193552238806,24.7349649253731,"","314"
"232","232","SP21_213",4.5108076,24.4836446,"","316"
"233.1","233.1","SP21_213",5.23741,25.2419131868132,"","318+right 1/3 of 317"
"233.2","233.2","SP21_213",5.05585018404908,25.1675419631902,"","left 2/3 of 317"
"234","234","SP21_213",5.47725612903226,25.1244567741936,"","319"
"235","235","SP21_213",7.10597923076923,26.1834146153846,"","320"
"236","236","SP21_213",6.61861447368421,26.0023485526316,"","323"
"237","237","SP21_213",6.75011283018868,25.6878467924528,"","327"
"238","238","SP21_213",6.24252071428572,25.6335057142857,"","328"
"239","239","SP21_213",7.55192497109827,26.6698576878613,"","330"
"240.1_240.2","240.1_240.2","SP21_213",8.12110042372882,26.5787157627119,"","331"
"241","241","SP21_213",7.7283972972973,26.5769758108108,"","332"
"242","242","SP21_213",7.29733531034483,26.4038484137931,"","333"
"243","243","SP21_213",7.57390500000001,26.240965,"","335"
"244","244","SP21_213",8.787287,27.455757,"","336"
"245","245","SP21_213",9.0364719266055,27.3468792660551,"","337"
"246","246","SP21_213",8.52018670658683,27.2969108982036,"","338"
"247","247","SP21_213",9.22743939849624,27.1743018045113,"","339"
"248","248","SP21_213",10.1523635059761,28.1604885258964,"","342"
"249","249","SP21_213",10.3451308108108,27.9730645405406,"","344"
"250","250","SP21_213",9.99018883720931,27.8028637209302,"","345"
"251","251","SP21_213",10.8327394818653,28.6125266321244,"","347"
"252","252","SP21_213",10.7563528125,28.4117125,"","348"
"253","253","SP21_213",6.299708,27.616756,"","350"
"254","254","SP21_213",6.49874772727273,27.3611336363637,"","352 right"
"256.1","256.1","SP21_213",5.80558518518519,27.2396955555556,"","353 upper"
"255","255","SP21_213",6.31925933054394,27.2590672803347,"","352 left"
"256.2","256.2","SP21_213",5.88325441176471,27.0693991176471,"","353 lower"
"257","257","SP21_213",5.69406632653062,27.0185389795918,"","354"
"258","258","SP21_213",2.816106,25.989874,"","355"
"259","259","SP21_213",3.32386591836735,25.8665356122449,"","356"
"260","260","SP21_213",3.71293,25.8709485714286,"","357"
"261","261","SP21_213",3.11573044897959,25.7362587755102,"","358"
"262","262","control2",7.83538670651877,10.7660126315789,"","new262"
"263","263","control2",8.28761445152785,10.6808439655172,"","new263"
"264","264","control2",7.97674575970243,10.4657935664336,"","new264"
"265","265","control2",8.23954988763332,10.2939941176471,"","new265"
"266","266","control2",6.55565286148953,8.42922111111111,"","new266"
"267","267","control2",10.3183265599022,8.94129442857143,"","new267"
"268","268","control2",10.288393700064,8.74066509433962,"","new268"
